date,value
2020-01-01,102.48357076505616
2020-01-02,99.92743527723455
2020-01-03,104.47585445222617
2020-01-04,109.47101244360411
2020-01-05,101.3032423949072
2020-01-06,101.92106367410713
2020-01-07,111.6050433067522
2020-01-08,108.16277387248849
2020-01-09,102.59413834925945
2020-01-10,108.26940864171108
2020-01-11,103.85370547539443
2020-01-12,104.45531760636268
2020-01-13,108.60583693392338
2020-01-14,98.44047049926921
2020-01-15,99.9918161874702
2020-01-16,106.41308973714172
2020-01-17,104.766983563355
2020-01-18,112.0073791474964
2020-01-19,106.49931922963216
2020-01-20,104.57941479680917
2020-01-21,119.56877072183694
2020-01-22,111.70924269227984
2020-01-23,113.77127073634333
2020-01-24,106.90320757670054
2020-01-25,111.8960726797307
2020-01-26,115.76126244325577
2020-01-27,110.0378772984252
2020-01-28,118.25497129746861
2020-01-29,113.9542726940635
2020-01-30,116.0772406231606
2020-01-31,115.102588014156
2020-02-01,127.94500319777845
2020-02-02,119.18560873450177
2020-02-03,114.53092695596686
2020-02-04,124.4954107560937
2020-02-05,114.83840502715856
2020-02-06,122.54352642131563
2020-02-07,112.25400767713596
2020-02-08,115.96106019293912
2020-02-09,124.13232969896231
2020-02-10,127.38271015872292
2020-02-11,125.08581386520036
2020-02-12,124.18548962583311
2020-02-13,123.7890575683327
2020-02-14,118.42882174297804
2020-02-15,122.74500233197493
2020-02-16,124.55968382204001
2020-02-17,132.66293355205727
2020-02-18,129.6055781173143
2020-02-19,119.57809997537305
2020-02-20,130.51511613318468
2020-02-21,127.4661947940858
2020-02-22,126.49935473251885
2020-02-23,133.43008894287487
2020-02-24,136.00976906721039
2020-02-25,135.98949554704237
2020-02-26,127.61053012475999
2020-02-27,130.72921911632707
2020-02-28,134.39534448324068
2020-02-29,138.0755264340326
2020-03-01,131.25567576012787
2020-03-02,133.17191792054683
2020-03-03,129.01207202010949
2020-03-04,129.00106613452888
2020-03-05,139.4778505903263
2020-03-06,142.6242668310575
2020-03-07,135.90553896592246
2020-03-08,141.70041088898674
2020-03-09,138.90267514276172
2020-03-10,134.2751961073774
2020-03-11,139.7085850806697
2020-03-12,145.9870770568856
2020-03-13,138.50749052293267
2020-03-14,146.89397078326675
2020-03-15,126.35053168610314
2020-03-16,143.93161663742168
2020-03-17,140.62449953659845
2020-03-18,139.0556733408627
2020-03-19,141.36522002954877
2020-03-20,131.31851381992553
2020-03-21,140.50215513426866
2020-03-22,143.72442700028665
2020-03-23,149.66085849700028
2020-03-24,140.006718770171
2020-03-25,138.87642551829254
2020-03-26,140.7250604277705
2020-03-27,148.1199248850852
2020-03-28,145.48984487094424
2020-03-29,141.49456128633182
2020-03-30,147.00106373747573
2020-03-31,145.2055649458664
2020-04-01,149.84293596567883
2020-04-02,141.76306112126264
2020-04-03,143.90271352741965
2020-04-04,143.8422653362122
2020-04-05,138.74110120455248
2020-04-06,147.7892407553771
2020-04-07,147.8579800647257
2020-04-08,146.8164453028071
2020-04-09,145.85023746650097
2020-04-10,140.17274789068716
2020-04-11,145.36695110025786
2020-04-12,145.97134491378716
2020-04-13,143.88245235251256
2020-04-14,147.29053223483717
2020-04-15,150.31455925266647
2020-04-16,157.91682362926522
2020-04-17,149.54464192249822
2020-04-18,150.13965942462576
2020-04-19,148.6541563673809
2020-04-20,139.60136187208397
2020-04-21,149.22586543639113
2020-04-22,149.81722058822345
2020-04-23,161.98436733462637
2020-04-24,148.85292798134586
2020-04-25,151.4635722707634
2020-04-26,149.91794572625892
2020-04-27,144.3783908132075
2020-04-28,156.06082165596868
2020-04-29,154.2259938123274
2020-04-30,154.53584983085116
2020-05-01,146.14290210388378
2020-05-02,157.8077970468387
2020-05-03,143.88344364904125
2020-05-04,153.9207972967701
2020-05-05,162.02759575039906
2020-05-06,146.20648973465617
2020-05-07,148.40664087859443
2020-05-08,151.81050687632035
2020-05-09,148.86421402472334
2020-05-10,143.6928998806871
2020-05-11,151.84900131918076
2020-05-12,146.2500455037882
2020-05-13,153.98037697949573
2020-05-14,147.06168378375742
2020-05-15,159.4504740513696
2020-05-16,147.82220844672466
2020-05-17,150.16158616788658
2020-05-18,155.86871604111377
2020-05-19,145.67193458645266
2020-05-20,152.98464592538423
2020-05-21,158.40018903163462
2020-05-22,143.84030324627273
2020-05-23,152.81032539806318
2020-05-24,153.19227779359446
2020-05-25,155.80403653544082
2020-05-26,145.70865830014563
2020-05-27,145.28613153343355
2020-05-28,154.48972101199251
2020-05-29,153.35321475760372
2020-05-30,153.10579823746937
2020-05-31,153.56746773606514
2020-06-01,148.41393254593538
2020-06-02,152.9511784276183
2020-06-03,153.22823885991127
2020-06-04,148.1612880137708
2020-06-05,161.02937845220808
2020-06-06,154.03451440022556
2020-06-07,145.67115101432086
2020-06-08,154.87032249978614
2020-06-09,146.67169247939825
2020-06-10,155.4358244991396
2020-06-11,157.24652882421708
2020-06-12,147.30123274449497
2020-06-13,156.1706581157457
2020-06-14,153.36495131162724
2020-06-15,155.35684965800647
2020-06-16,160.67434634847174
2020-06-17,149.90570174490716
2020-06-18,147.3047490869654
2020-06-19,146.5652708561037
2020-06-20,146.87192941079823
2020-06-21,150.50243445750425
2020-06-22,152.5295893346997
2020-06-23,152.1421944682585
2020-06-24,154.82869283923839
2020-06-25,150.69104810275687
2020-06-26,157.82629804978427
2020-06-27,149.16736073338157
2020-06-28,164.02303759585877
2020-06-29,153.48170654485392
2020-06-30,145.99849290799756
2020-07-01,144.86056366496487
2020-07-02,152.5580700669791
2020-07-03,148.95911407791667
2020-07-04,153.57729046377037
2020-07-05,152.30457783519321
2020-07-06,149.50569028204686
2020-07-07,145.5677563841018
2020-07-08,142.1599254266693
2020-07-09,147.43467110069346
2020-07-10,153.88307297590862
2020-07-11,150.6062305760039
2020-07-12,143.2427011446774
2020-07-13,150.27398352500597
2020-07-14,151.2725003584292
2020-07-15,144.8657112407178
2020-07-16,149.99405863266156
2020-07-17,149.45836001761128
2020-07-18,143.39589539320093
2020-07-19,150.84475931106033
2020-07-20,151.80656348675134
2020-07-21,154.36655516793996
2020-07-22,154.17090354947754
2020-07-23,141.96617294240212
2020-07-24,144.1201485453533
2020-07-25,151.34142619822939
2020-07-26,151.29447191560791
2020-07-27,151.26248241473382
2020-07-28,167.91510541060563
2020-07-29,151.47269852514668
2020-07-30,154.26555734778333
2020-07-31,153.32999662644474
2020-08-01,151.79206771924186
2020-08-02,146.93684254182085
2020-08-03,152.28915360128184
2020-08-04,144.61442847430283
2020-08-05,147.2819228330288
2020-08-06,146.02995872491027
2020-08-07,148.86029106561975
2020-08-08,160.02182344253498
2020-08-09,139.113363225332
2020-08-10,151.88577801071693
2020-08-11,140.399394743701
2020-08-12,146.11559976297576
2020-08-13,153.9361626808041
2020-08-14,148.8329025236647
2020-08-15,143.1468887488027
2020-08-16,144.98729594148253
2020-08-17,151.994169671108
2020-08-18,144.98095051369904
2020-08-19,149.75598613752985
2020-08-20,148.94683786780382
2020-08-21,145.51070626517696
2020-08-22,159.54266822092887
2020-08-23,152.05135833837124
2020-08-24,138.81950531854483
2020-08-25,149.94564694157035
2020-08-26,145.77736337745188
2020-08-27,153.42620564385456
2020-08-28,145.28405977144337
2020-08-29,148.7605438208713
2020-08-30,151.9517184430296
2020-08-31,153.85316140103532
2020-09-01,143.6256065523168
2020-09-02,148.06243624526758
2020-09-03,147.47326976495293
2020-09-04,146.6996519547453
2020-09-05,158.91716530466996
2020-09-06,152.24373755410232
2020-09-07,144.04872617575654
2020-09-08,155.08219623202376
2020-09-09,161.24887157646702
2020-09-10,155.95112286155035
2020-09-11,143.34819126846048
